Date,"Wikipedia:ツール"
2016-12-19,56
2016-12-20,28
2016-12-21,46
2016-12-22,35
2016-12-23,23
2016-12-24,22
2016-12-25,32
2016-12-26,24
2016-12-27,54
2016-12-28,60
2016-12-29,12834
2016-12-30,21
2016-12-31,37
2017-01-01,27
2017-01-02,67
2017-01-03,60
2017-01-04,33
2017-01-05,28
2017-01-06,36
2017-01-07,42
2017-01-08,36
2017-01-09,21
2017-01-10,20
2017-01-11,23
2017-01-12,29
2017-01-13,23
2017-01-14,27
2017-01-15,23
2017-01-16,27
2017-01-17,71
2017-01-18,67
2017-01-19,40
2017-01-20,18
2017-01-21,28
2017-01-22,22
2017-01-23,24
2017-01-24,22
2017-01-25,43
2017-01-26,15
2017-01-27,34
2017-01-28,20
2017-01-29,39
2017-01-30,37
2017-01-31,30
2017-02-01,14
2017-02-02,18
2017-02-03,36
2017-02-04,15
2017-02-05,24
2017-02-06,29
2017-02-07,53
2017-02-08,20
2017-02-09,32
2017-02-10,28
2017-02-11,18
2017-02-12,31
2017-02-13,27
2017-02-14,23
2017-02-15,23
2017-02-16,21
2017-02-17,19
2017-02-18,23
2017-02-19,27
2017-02-20,22
2017-02-21,34
2017-02-22,22
2017-02-23,26
2017-02-24,68
2017-02-25,25
2017-02-26,21
2017-02-27,23
2017-02-28,25
2017-03-01,25
2017-03-02,20
2017-03-03,28
2017-03-04,14
2017-03-05,23
2017-03-06,23
2017-03-07,17
2017-03-08,15
2017-03-09,25
2017-03-10,37
2017-03-11,35
2017-03-12,25
2017-03-13,34
2017-03-14,19
2017-03-15,10
2017-03-16,18
2017-03-17,16
2017-03-18,17
2017-03-19,30
2017-03-20,23
2017-03-21,30
2017-03-22,27
2017-03-23,24
2017-03-24,42
2017-03-25,30
2017-03-26,26
2017-03-27,24
2017-03-28,19
2017-03-29,30
2017-03-30,25
2017-03-31,19
2017-04-01,32
2017-04-02,24
2017-04-03,54
2017-04-04,33
2017-04-05,39
2017-04-06,33
2017-04-07,29
2017-04-08,18
2017-04-09,19
2017-04-10,25
2017-04-11,27
2017-04-12,34
2017-04-13,11
2017-04-14,30
2017-04-15,33
2017-04-16,17
2017-04-17,40
2017-04-18,24
2017-04-19,27
2017-04-20,26
2017-04-21,21
2017-04-22,20
2017-04-23,22
2017-04-24,24
2017-04-25,21
2017-04-26,32
2017-04-27,28
2017-04-28,16
2017-04-29,25
2017-04-30,22
2017-05-01,29
2017-05-02,22
2017-05-03,24
2017-05-04,30
2017-05-05,15
2017-05-06,42
2017-05-07,39
2017-05-08,21
2017-05-09,18
2017-05-10,31
2017-05-11,24
2017-05-12,31
2017-05-13,21
2017-05-14,23
2017-05-15,20
2017-05-16,15
2017-05-17,25
2017-05-18,15
2017-05-19,11
2017-05-20,25
2017-05-21,13
2017-05-22,20
2017-05-23,41
2017-05-24,11
2017-05-25,25
2017-05-26,21
2017-05-27,39
2017-05-28,15
2017-05-29,19
2017-05-30,18
2017-05-31,22
2017-06-01,25
2017-06-02,15
2017-06-03,11
2017-06-04,11
2017-06-05,24
2017-06-06,20
2017-06-07,26
2017-06-08,17
2017-06-09,21
2017-06-10,23
2017-06-11,27
2017-06-12,23
2017-06-13,15
2017-06-14,19
2017-06-15,10
2017-06-16,20
2017-06-17,19
2017-06-18,17
2017-06-19,21
2017-06-20,15
2017-06-21,23
2017-06-22,21
2017-06-23,7
2017-06-24,17
2017-06-25,17
2017-06-26,21
2017-06-27,22
2017-06-28,16
2017-06-29,27
2017-06-30,18
2017-07-01,26
2017-07-02,15
2017-07-03,12
2017-07-04,22
2017-07-05,14
2017-07-06,16
2017-07-07,17
2017-07-08,19
2017-07-09,28
2017-07-10,20
2017-07-11,20
2017-07-12,17
2017-07-13,22
2017-07-14,25
2017-07-15,28
2017-07-16,19
2017-07-17,24
2017-07-18,25
2017-07-19,29
2017-07-20,30
2017-07-21,34
2017-07-22,64
2017-07-23,63
2017-07-24,37
2017-07-25,20
2017-07-26,28
2017-07-27,27
2017-07-28,32
2017-07-29,23
2017-07-30,28
2017-07-31,31
2017-08-01,24
2017-08-02,24
2017-08-03,18
2017-08-04,37
2017-08-05,32
2017-08-06,22
2017-08-07,18
2017-08-08,21
2017-08-09,27
2017-08-10,20
2017-08-11,17
2017-08-12,23
2017-08-13,26
2017-08-14,24
2017-08-15,19
2017-08-16,35
2017-08-17,26
2017-08-18,18
2017-08-19,21
2017-08-20,25
2017-08-21,26
2017-08-22,22
2017-08-23,22
2017-08-24,41
2017-08-25,22
2017-08-26,14
2017-08-27,26
2017-08-28,23
2017-08-29,29
2017-08-30,29
2017-08-31,22
2017-09-01,38
2017-09-02,21
2017-09-03,21
2017-09-04,18
2017-09-05,23
2017-09-06,30
2017-09-07,24
2017-09-08,22
2017-09-09,34
2017-09-10,29
2017-09-11,21
2017-09-12,45
2017-09-13,11
2017-09-14,22
2017-09-15,29
2017-09-16,20
2017-09-17,28
2017-09-18,23
2017-09-19,34
2017-09-20,20
2017-09-21,18
2017-09-22,23
2017-09-23,13
2017-09-24,15
2017-09-25,30
2017-09-26,17
2017-09-27,18
2017-09-28,15
2017-09-29,21
2017-09-30,30
2017-10-01,43
2017-10-02,33
2017-10-03,26
2017-10-04,30
2017-10-05,14
2017-10-06,28
2017-10-07,40
2017-10-08,22
2017-10-09,24
2017-10-10,27
2017-10-11,135
2017-10-12,94
2017-10-13,47
2017-10-14,42
2017-10-15,20
2017-10-16,34
2017-10-17,22
2017-10-18,17
2017-10-19,29
2017-10-20,22
2017-10-21,18
2017-10-22,24
2017-10-23,19
2017-10-24,23
2017-10-25,25
2017-10-26,13
2017-10-27,24
2017-10-28,22
2017-10-29,25
2017-10-30,16
2017-10-31,16
2017-11-01,22
2017-11-02,32
2017-11-03,27
2017-11-04,20
2017-11-05,25
2017-11-06,16
2017-11-07,19
2017-11-08,21
2017-11-09,22
2017-11-10,14
2017-11-11,16
2017-11-12,24
2017-11-13,11
2017-11-14,26
2017-11-15,13
2017-11-16,16
2017-11-17,11
2017-11-18,19
2017-11-19,19
2017-11-20,18
2017-11-21,25
2017-11-22,14
2017-11-23,31
2017-11-24,20
2017-11-25,17
2017-11-26,18
2017-11-27,22
2017-11-28,66
2017-11-29,22
2017-11-30,21
2017-12-01,22
2017-12-02,18
2017-12-03,9
2017-12-04,22
2017-12-05,30
2017-12-06,28
2017-12-07,20
2017-12-08,12
2017-12-09,14
2017-12-10,20
2017-12-11,18
2017-12-12,20
2017-12-13,33
2017-12-14,21
2017-12-15,18
2017-12-16,12
2017-12-17,19
2017-12-18,34
2017-12-19,25
2017-12-20,13
2017-12-21,20
2017-12-22,19
2017-12-23,32
2017-12-24,24
2017-12-25,11
2017-12-26,12
2017-12-27,23
2017-12-28,14
2017-12-29,24
2017-12-30,32
2017-12-31,17
2018-01-01,19
2018-01-02,28
2018-01-03,15
2018-01-04,22
2018-01-05,28
2018-01-06,37
2018-01-07,26
2018-01-08,39
2018-01-09,22
2018-01-10,28
2018-01-11,12
2018-01-12,34
2018-01-13,34
2018-01-14,26
2018-01-15,32
2018-01-16,20
2018-01-17,21
2018-01-18,32
2018-01-19,21
2018-01-20,30
2018-01-21,21
2018-01-22,21
2018-01-23,24
2018-01-24,24
2018-01-25,14
2018-01-26,16
2018-01-27,20
2018-01-28,26
2018-01-29,23
2018-01-30,8
2018-01-31,17
2018-02-01,19
